mes,mes_numero,provincia,monto_total,num_procesos
abril,4,Azuay,35003339.5,1467
abril,4,Bolívar,2169550.36,322
abril,4,Carchi,4291967.7700000005,373
abril,4,Cañar,3536421.9899999998,798
abril,4,Chimborazo,15564835.73,1092
abril,4,Cotopaxi,8844441.58,675
abril,4,Desconocido,10621.04,45
abril,4,El Oro,20214873.2,897
abril,4,Esmeraldas,10015294.83,865
abril,4,Galápagos,2705868.38,32
abril,4,Guayas,91610314.48,3153
abril,4,Imbabura,13641863.93,994
abril,4,Loja,17852636.03,1052
abril,4,Los Ríos,7524995.29,431
abril,4,Manabí,37066034.17,1633
abril,4,Morona Santiago,8525160.98,476
abril,4,Napo,27501145.81,909
abril,4,Orellana,2968094.31,214
abril,4,Pastaza,18410224.22,409
abril,4,Pichincha,266184485.03,8802
abril,4,Santa Elena,1478569.77,57
abril,4,Santo Domingo de los Tsáchilas,966842.12,199
abril,4,Sucumbíos,2352496.9,658
abril,4,Tungurahua,12929768.66,1291
abril,4,Zamora Chinchipe,3497833.89,534
agosto,8,Azuay,19281368.13,890
agosto,8,Bolívar,2057074.98,148
agosto,8,Carchi,757697.39,310
agosto,8,Cañar,1464278.6199999999,355
agosto,8,Chimborazo,9912232.99,564
agosto,8,Cotopaxi,1497161.4300000002,203
agosto,8,El Oro,6308793.92,431
agosto,8,Esmeraldas,11478668.639999999,180
agosto,8,Galápagos,1190541.94,43
agosto,8,Guayas,74488883.17999999,1312
agosto,8,Imbabura,3193493.0900000003,424
agosto,8,Loja,2642993.92,418
agosto,8,Los Ríos,3822826.33,344
agosto,8,Manabí,10014891.69,1108
agosto,8,Morona Santiago,1230735.44,339
agosto,8,Napo,7248100.9,579
agosto,8,Orellana,410611.76999999996,144
agosto,8,Pastaza,783151.54,260
agosto,8,Pichincha,90721480.19,3239
agosto,8,Santa Elena,640336.97,44
agosto,8,Santo Domingo de los Tsáchilas,771253.5800000001,201
agosto,8,Sucumbíos,5963651.970000001,112
agosto,8,Tungurahua,9393260.35,860
agosto,8,Zamora Chinchipe,2009829.21,343
diciembre,12,Azuay,46632576.07,718
diciembre,12,Bolívar,9560038.2,177
diciembre,12,Carchi,8221011.39,180
diciembre,12,Cañar,8317036.35,174
diciembre,12,Chimborazo,18709602.76,421
diciembre,12,Cotopaxi,15779516.52,305
diciembre,12,El Oro,31295615.150000002,318
diciembre,12,Esmeraldas,18808925.13,265
diciembre,12,Galápagos,4787044.46,40
diciembre,12,Guayas,237587611.78,1283
diciembre,12,Imbabura,23260334.12,509
diciembre,12,Loja,33311140.78,450
diciembre,12,Los Ríos,55154182.25,300
diciembre,12,Manabí,52605843.48,786
diciembre,12,Morona Santiago,27177242.14,417
diciembre,12,Napo,65636997.839999996,483
diciembre,12,Orellana,10444630.83,69
diciembre,12,Pastaza,19302586.54,282
diciembre,12,Pichincha,581380219.68,3330
diciembre,12,Santa Elena,3328962.54,26
diciembre,12,Santo Domingo de los Tsáchilas,4206114.99,66
diciembre,12,Sucumbíos,13920917.38,143
diciembre,12,Tungurahua,32139810.71,571
diciembre,12,Zamora Chinchipe,28801820.45,167
enero,1,Azuay,3290470.46,116
enero,1,Bolívar,1795360.51,38
enero,1,Carchi,79081.0,79
enero,1,Cañar,706335.36,115
enero,1,Chimborazo,464710.35,63
enero,1,Cotopaxi,83013.49,25
enero,1,El Oro,1145601.3,30
enero,1,Esmeraldas,403304.24000000005,26
enero,1,Galápagos,191926.58,1
enero,1,Guayas,2941037.48,121
enero,1,Imbabura,338143.04,92
enero,1,Loja,339479.91000000003,205
enero,1,Los Ríos,961327.15,104
enero,1,Manabí,2854183.08,275
enero,1,Morona Santiago,154306.91,36
enero,1,Napo,1107853.69,50
enero,1,Orellana,116555.29000000001,87
enero,1,Pastaza,510531.38,40
enero,1,Pichincha,2565793.92,341
enero,1,Santa Elena,62429.05,7
enero,1,Santo Domingo de los Tsáchilas,21934.2,2
enero,1,Tungurahua,201158.36000000002,125
enero,1,Zamora Chinchipe,1121024.3900000001,136
febrero,2,Azuay,18645997.95,1524
febrero,2,Bolívar,1822843.56,303
febrero,2,Carchi,4890133.52,492
febrero,2,Cañar,2638351.36,720
febrero,2,Chimborazo,3720041.47,551
febrero,2,Cotopaxi,2583948.07,506
febrero,2,El Oro,4154983.12,807
febrero,2,Esmeraldas,9596204.86,280
febrero,2,Galápagos,449673.42,38
febrero,2,Guayas,49920166.089999996,2167
febrero,2,Imbabura,2976812.96,790
febrero,2,Loja,8184574.53,933
febrero,2,Los Ríos,12647020.53,546
febrero,2,Manabí,12942686.78,934
febrero,2,Morona Santiago,9530112.05,736
febrero,2,Napo,4431097.37,607
febrero,2,Orellana,1192536.42,445
febrero,2,Pastaza,1752696.6,338
febrero,2,Pichincha,53983882.72,3023
febrero,2,Santa Elena,2114393.16,56
febrero,2,Santo Domingo de los Tsáchilas,2471634.6,97
febrero,2,Sucumbíos,826469.04,212
febrero,2,Tungurahua,10978904.030000001,966
febrero,2,Zamora Chinchipe,7851682.66,273
julio,7,Azuay,50687591.84,1112
julio,7,Bolívar,8340907.4799999995,301
julio,7,Carchi,5109659.96,305
julio,7,Cañar,5342385.95,303
julio,7,Chimborazo,17988279.78,805
julio,7,Cotopaxi,17292017.77,296
julio,7,El Oro,27707640.37,562
julio,7,Esmeraldas,8334636.0200000005,316
julio,7,Galápagos,4241329.92,41
julio,7,Guayas,149117295.61,2244
julio,7,Imbabura,31280755.29,550
julio,7,Loja,11703812.5,795
julio,7,Los Ríos,28738860.18,419
julio,7,Manabí,44344858.589999996,940
julio,7,Morona Santiago,29842675.61,495
julio,7,Napo,27037309.98,583
julio,7,Orellana,2885414.84,159
julio,7,Pastaza,10336342.72,401
julio,7,Pichincha,399672894.31,5064
julio,7,Santa Elena,3644126.6399999997,100
julio,7,Santo Domingo de los Tsáchilas,3180944.6199999996,52
julio,7,Sucumbíos,8810214.41,404
julio,7,Tungurahua,26094483.87,711
julio,7,Zamora Chinchipe,5914081.69,290
junio,6,Azuay,34669257.18,1270
junio,6,Bolívar,2180093.33,209
junio,6,Carchi,8693607.23,257
junio,6,Cañar,4804232.29,370
junio,6,Chimborazo,8628469.42,906
junio,6,Cotopaxi,5618855.02,571
junio,6,Desconocido,93778.77,11
junio,6,El Oro,10897499.65,569
junio,6,Esmeraldas,4296591.51,147
junio,6,Galápagos,1991430.38,88
junio,6,Guayas,96965395.55,1790
junio,6,Imbabura,11578761.38,725
junio,6,Loja,6735993.21,959
junio,6,Los Ríos,9891107.9,461
junio,6,Manabí,11846152.91,905
junio,6,Morona Santiago,9611987.39,552
junio,6,Napo,11669205.83,729
junio,6,Orellana,525818.76,146
junio,6,Pastaza,5786611.3,495
junio,6,Pichincha,155920837.65,4075
junio,6,Santa Elena,742507.33,80
junio,6,Santo Domingo de los Tsáchilas,3086938.18,120
junio,6,Sucumbíos,2136537.38,456
junio,6,Tungurahua,10342103.13,939
junio,6,Zamora Chinchipe,7739222.17,401
marzo,3,Azuay,24184539.0,1096
marzo,3,Bolívar,2347881.22,250
marzo,3,Carchi,3786193.04,397
marzo,3,Cañar,4417900.68,896
marzo,3,Chimborazo,7617854.27,734
marzo,3,Cotopaxi,4842450.44,446
marzo,3,Desconocido,117983.65,17
marzo,3,El Oro,7580211.39,1195
marzo,3,Esmeraldas,3605874.1,463
marzo,3,Galápagos,2267899.62,30
marzo,3,Guayas,90574153.19,3368
