procuringEntity_name,monto_total,num_procesos
EMPRESA ELÉCTRICA PÚBLICA ESTRATÉGICA CORPORACIÓN NACIONAL DE ELECTRICIDAD CNEL EP,268344320.63,1340
CORPORACION ELECTRICA DEL ECUADOR CELEC EP.,228984829.73,1401
Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR,205362714.07,477
MINISTERIO DE EDUCACION DEPORTE Y CULTURA,179004089.92,60
MINISTERIO DE EDUCACION,136820437.28,72
GOBIERNO AUTONOMO DESCENTRALIZADO DEL DISTRITO METROPOLITANO DE QUITO,134983169.76,3113
Empresa Publica Metropolitana de Movilidad y Obras Publicas,127659245.14,350
EMPRESA ELÉCTRICA QUITO S.A. E.E.Q.,108043723.45,275
Gobierno Provincial del Guayas,95392423.23,202
HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN,92126187.36,638
Municipalidad de Guayaquil,91809245.14,274
Empresa Pública Metropolitana de Agua Potable y Saneamiento,83883812.12,331
CORPORACION NACIONAL DE TELECOMUNICACIONES,76678992.12,453
INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL,65738044.92,1668
GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE MANABI,59673667.35,231
EMPRESA PÚBLICA METROPOLITANA METRO DE QUITO,54370770.32,130
GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL  DE EL ORO,52034747.8,183
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CUENCA,46027751.51,285
Empresa Publica Municipal para la Gestion de Riesgos y Control de Seguridad de Guayaquil SEGURA EP,43564221.72,106
GOBIERNO PROVINCIAL DE LOS RIOS,42156944.01,136
HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,41893950.47,596
GAD DE LA PROVINCIA DE MORONA SANTIAGO,40088055.07,302
GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE ORELLANA,39414228.56,890
GOBIERNO AUTONOMO DESCENTRALIZADO DE SAN MIGUEL DE IBARRA,38231390.03,412
EMPRESA DE PRODUCCION Y DESARROLLO ESTRATEGICO DE LA UNIVERSIDAD ESTATAL DE MILAGRO,36555634.08,117
